id,name,parentid,x,y,z,description,shortname,catchment,fgroup,fcst_pp,esp,hefs,snowupdate,spatial_display,gage,gage_fcst,precip,nwm,snotel,snowcourse
FID3040,GFS 40 Canada WHRQ9UPR,WHRQ9,-141.745,61.816944,0,model data for WHRQ9,FID3040,,,,,,,,,,,,,
FID3043,GFS 40 Canada WHRQ9UPR2,WHRQ9,-140.416944,61.173056,0,model data for WHRQ9,FID3043,,,,,,,,,,,,,
FID3047,GFS 40 Canada WHRQ9LWR,WHRQ9,-140.396944,61.811111,0,model data for WHRQ9,FID3047,,,,,,,,,,,,,
FID3051,GFS 40 Canada YDAQ9UPR,YDAQ9,-139.341111,61.415,0,model data for YDAQ9,FID3051,,,,,,,,,,,,,
FID3055,GFS 40 Canada YDAQ9UPR2,YDAQ9,-138.313056,61.013056,0,model data for YDAQ9,FID3055,,,,,,,,,,,,,
FID3064,GFS 40 Canada NIRQ9,NIRQ9,-137.701111,61.766944,0,model data for NIRQ9,FID3064,,,,,,,,,,,,,
FID3067,GFS 40 Canada YWRQ9UPR8,YWRQ9,-136.666944,61.353056,0,model data for YWRQ9,FID3067,,,,,,,,,,,,,
FID3069,GFS 40 Canada NIRQ9 2,NIRQ9,-136.908889,61.616944,0,model data for NIRQ9,FID3069,,,,,,,,,,,,,
FID3075,GFS 40 Canada YWRQ9LWR,YWRQ9,-135.573056,61.568889,0,model data for YWRQ9,FID3075,,,,,,,,,,,,,
FID3087,GFS 40 Canada PRXQ9UPR,PRXQ9,-133.113056,61.711111,0,model data for PRXQ9UPR,FID3087,,,,,,,,,,,,,
FID3092,GFS 40 Canada PRXQ9UPR2,PRXQ9,-132.908889,61.443056,0,model data for PRXQ9,FID3092,,,,,,,,,,,,,
FID3097,GFS 40 Canada PRXQ9UPR3,PRXQ9,-131.021111,61.453056,0,model data for PRXQ9,FID3097,,,,,,,,,,,,,
FID3265,GFS 40 Canada YDAQ9UPR3,YDAQ9,-140.656944,62.066944,0,model data for YDAQ9,FID3265,,,,,,,,,,,,,
FID3270,GFS 40 Canada YDAQ9UPR4,YDAQ9,-140.081111,62.286944,0,model data for YDAQ9,FID3270,,,,,,,,,,,,,
FID3276,GFS 40 Canada YWRQ9LWR2,YWRQ9,-139.516944,62.946944,0,model data for YWRQ9,FID3276,,,,,,,,,,,,,
FID3277,GFS 40 Canada NIRQ9 3,NIRQ9,-138.745,62.171111,0,model data for NIRQ9,FID3277,,,,,,,,,,,,,
FID3279,GFS 40 Canada YDAQ9UPR5,YDAQ9,-138.996944,62.431111,0,model data for YDAQ9,FID3279,,,,,,,,,,,,,
FID3282,GFS 40 Canada YWRQ9LWR3,YWRQ9,-138.125,62.923056,0,model data for YWRQ9,FID3282,,,,,,,,,,,,,
FID3283,GFS 40 Canada NIRQ9 4,NIRQ9,-137.941111,62.026944,0,model data for NIRQ9,FID3283,,,,,,,,,,,,,
FID3288,GFS 40 Canada YWRQ9LWR4,YWRQ9,-137.305,62.775,0,model data for YWRQ9,FID3288,,,,,,,,,,,,,
FID3291,GFS 40 Canada YWRQ9LWR5,YWRQ9,-136.256944,62.361111,0,model data for YWRQ9,FID3291,,,,,,,,,,,,,
FID3292,GFS 40 Canada PRXQ9LWR,PRXQ9,-136.493056,62.625,0,model data for PRXQ9,FID3292,,,,,,,,,,,,,
FID3299,GFS 40 Canada PRXQ9LWR2,PRXQ9,-135.345,62.838889,0,model data for PRXQ9,FID3299,,,,,,,,,,,,,
FID3301,GFS 40 Canada YWRQ9UPR9,YWRQ9,-134.101111,62.146944,0,model data for YWRQ9,FID3301,,,,,,,,,,,,,
FID3303,GFS 40 Canada PRXQ9LWR3,PRXQ9,-134.321111,62.413056,0,model data for PRXQ9,FID3303,,,,,,,,,,,,,
FID3305,GFS 40 Canada PRXQ9LWR4,PRXQ9,-134.765,62.943056,0,model data for PRXQ9,FID3305,,,,,,,,,,,,,
FID3321,GFS 40 Canada PRXQ9UPR4,PRXQ9,-131.213056,62.625,0,model data for PRXQ9,FID3321,,,,,,,,,,,,,
FID3324,GFS 40 Canada PRXQ9UPR5,PRXQ9,-130.245,62.173056,0,model data for PRXQ9,FID3324,,,,,,,,,,,,,
FID3476,GFS 40 Canada YDAQ9LWR2,YDAQ9,-142.028889,63.341111,0,model data for YDAQ9,FID3476,,,,,,,,,,,,,
FID3485,GFS 40 Canada YDAQ9LWR3,YDAQ9,-141.176944,63.846944,0,model data for YDAQ9,FID3485,,,,,,,,,,,,,
FID3488,GFS 40 Canada YDAQ9LWR4,YDAQ9,-140.048889,63.458889,0,model data for YDAQ9,FID3488,,,,,,,,,,,,,
FID3496,GFS 40 Canada KLNQ9LWR,KLNQ9,-139.161111,63.955,0,model data for KLNQ9,FID3496,,,,,,,,,,,,,
FID3501,GFS 40 Canada YDAQ9LWR5,YDAQ9,-138.896944,63.696944,0,model data for YDAQ9,FID3501,,,,,,,,,,,,,
FID3502,GFS 40 Canada KLNQ9UPR,KLNQ9,-138.313056,63.813056,0,model data for KLNQ9,FID3502,,,,,,,,,,,,,
FID3507,GFS 40 Canada KLNQ9UPR2,KLNQ9,-137.725,63.926944,0,model data for KLNQ9,FID3507,,,,,,,,,,,,,
FID3526,GFS 40 Canada PRXQ9UPR6,PRXQ9,-133.596944,63.145,0,model data for PRXQ9,FID3526,,,,,,,,,,,,,
FID3537,GFS 40 Canada PRXQ9UPR7,PRXQ9,-131.613056,63.163056,0,model data for PRXQ9,FID3537,,,,,,,,,,,,,
FID3713,GFS 40 Canada KLNQ9LWR2,KLNQ9,-138.576944,64.071111,0,model data for KLNQ9,FID3713,,,,,,,,,,,,,
FID3715,GFS 40 Canada KLNQ9UPR3,KLNQ9,-138.248889,64.443056,0,model data for KLNQ9,FID3715,,,,,,,,,,,,,
FID3718,GFS 40 Canada KLNQ9UPR4,KLNQ9,-137.136944,64.038889,0,model data for KLNQ9,FID3718,,,,,,,,,,,,,
FID3725,GFS 40 Canada KLNQ9UPR5,KLNQ9,-136.541111,64.148889,0,model data for KLNQ9,FID3725,,,,,,,,,,,,,
GCGA2_1hr,Glacier Creek Girdwood,,-149.131667,60.9625,30.5,NWS Wireweight on Glacier Creek at Girdwood,GCGA2_1hr,,,,,,,,,,,,,
SAMA2_1hr,Salmon River Gustavus,,-135.741944,58.444722,30.5,Salmon River at Gustavus,SAMA2_1hr,,,,,,,,,,,,,
LSOA2SYN,Little Su Hatcher Pass NWS,,-149.231944,61.709722,280.4,dummy rating curve for LSOA2,LSOA2SYN,,,,,,,,,,,,,
MPTA2Q,Trail River nr Lawing,MPTA2,-149.373056,60.431944,140.208,KENAI (AK),MPTA2Q,,,,,,,,,,,,,
NINA2Q,Ninilchik River at Ninilchik,NINA2,-151.664722,60.048333,9.144,KENAI (AK),NINA2Q,,,,,,,,,,,,,
RESA2Q,Resurrection River at Exit Glacier Bridge,RESA2,-149.587778,60.195278,92.964,KENAI (AK),RESA2Q,,,,,,,,,,,,,
SIXA2Q,Sixmile Creek near Hope,SIXA2,-149.425278,60.820833,76.2,KENAI (AK),SIXA2Q,,,,,,,,,,,,,
SKLA2Q,Kenai River blw Skilak Lake,SKLA2,-150.601389,60.466389,73.152,KENAI (AK),SKLA2Q,,,,,,,,,,,,,
GLAKONLY,Snow R GDL TS,SNOA2,-149.343889,60.295,143.3,Snow GDL contibution only,GLAKONLY,,,,,,,,,,,,,
COMPGLAK,Snow R GDL TS,SNOA2,-149.343889,60.295,143.3,Snow GDL contibution computed,COMPGLAK,,,,,,,,,,,,,
SNOA2BAS,Snow R baseflow,SNOA2,-149.343889,60.295,143.3,Snow R baseflow estimate,SNOA2BAS,,,,,,,,,,,,,
SNOA2TOT,Computed GDL flow,SNOA2,-149.343889,60.295,143.3,Actual flow minus baseflow,SNOA2TOT,,,,,,,,,,,,,
SNOZERO,Zero time series,SNOA2,-149.343889,60.295,143.3,Time series to compute GDL,SNOZERO,,,,,,,,,,,,,
SNOA2LOC,Snow River nr Seward,SNOA2,-149.343889,60.295,143.256,KENAI (AK),SNOA2LOC,,,,,,,,,,,,,
SXRA2Q,Kenai River at Soldotna,SXRA2,-151.082222,60.476667,10.75944,KENAI (AK),SXRA2Q,,,,,,,,,,,,,
EYAA2Inflow,EYAA2Inflow,,-145.644444,60.531111,90,Represents POWA2 + EYAA2LOC before being lagged to EYAA2,EYAA2Inflow,,,,,,,,,,,,,
UCHA2NRM,Chena Two Rivers Normals 24 HR QME,UCHA2,-146.356944,64.902778,219.2,USGS Normals for Upper Chena River,UCHA2NRM,,,,,,,,,,,,,
UCHNORMI,Chena Two Rivers Normals 6 HR QIN,UCHA2,-146.356944,64.902778,219.2,USGS Normals for Upper Chena River,UCHNORMI,,,,,,,,,,,,,
ALAA2LWR,ALAA2LWR,ALAA2,-153.5,66.8,356.6,Alatna River lower MAP blw 2100 ft,ALAA2LWR,LWR,Koyukuk,Y,,,,,,,,,,
ALAA2UPR,ALAA2UPR,ALAA2,-154,67.5,1024.1,Alatna River upper MAP abv 2100 ft,ALAA2UPR,UPR,Koyukuk,Y,,,,,,,,,,
ALEA2LG,ALEA2LG,ALEA2,-138.25,59.39009,887,Alsek R lower glacier MAP blw 4000,ALEA2LG,LG,Southeast,Y,,,,,,,,,,
ALEA2LWR,ALEA2LWR,ALEA2,-138.246823,59.33309,600.5,Alsek Rvr lower MAP blw 3000 ft,ALEA2LWR,LWR,Southeast,Y,,,,,,,,,,
ALEA2UG,ALEA2UG,ALEA2,-138.039,59.34395,1572.8,Alsek R upper glacier MAP abv 4000 ft,ALEA2UG,UG,Southeast,Y,,,,,,,,,,
ALEA2UPR,ALEA2UPR,ALEA2,-138.123019,59.363773,1298.1,Alsek Rvr upper MAP abv 3000 ft,ALEA2UPR,UPR,Southeast,Y,,,,,,,,,,
ALKA2LG,ALKA2LG,ALKA2,-138.25,59.85,887,Alsek R lower glacier MAP blw 4000,ALKA2LG,LG,Southeast,Y,,,,,,,,,,
ALKA2LWR,ALKA2LWR,ALKA2,-137.7,59.45,600.5,Alsek Rvr lower MAP blw 3000 ft,ALKA2LWR,LWR,Southeast,Y,,,,,,,,,,
ALKA2UG,ALKA2UG,ALKA2,-138.65,59.9,1572.8,Alsek R upper glacier MAP abv 4000 ft,ALKA2UG,UG,Southeast,Y,,,,,,,,,,
ALKA2UPR,ALKA2UPR,ALKA2,-137.55,59.75,1298.1,Alsek Rvr upper MAP abv 3000 ft,ALKA2UPR,UPR,Southeast,Y,,,,,,,,,,
ALLA2LOC,ALLA2LOC,ALLA2,-152,66.7,304.8,Allakaket local MAP,ALLA2LOC,LOC,Koyukuk,Y,,,,,,,,,,
ALSQ9GL,ALSQ9GL,ALSQ9,-138.75,60.35,1969.9,Alsek R abv Bates glacier MAP,ALSQ9GL,GL,Southeast,Y,,,,,,,,,,
ALSQ9LWR,ALSQ9LWR,ALSQ9,-137.5,60.7,746.76,Alsek R abv Bates lower MAP blw 3000,ALSQ9LWR,LWR,Southeast,Y,,,,,,,,,,
ALSQ9UPR,ALSQ9UPR,ALSQ9,-138.75,60.55,1438.7,Alsek R abv Bates upper MAP abv 3000,ALSQ9UPR,UPR,Southeast,Y,,,,,,,,,,
APBA2LWR,APBA2LWR,APBA2,-151.75,59.8,152.4,N fk Anchor River lower MAP blw 1000 ft,APBA2LWR,LWR,Kenai,Y,,,,,,,,,,
APBA2UPR,APBA2UPR,APBA2,-151.5,59.85,396.2,N fk Anchor River upper MAP abv 1000 ft,APBA2UPR,UPR,Kenai,Y,,,,,,,,,,
APTA2LWR,APTA2LWR,APTA2,-151.68,59.72,217.9,S fk Anchor River lower MAP blw 1000 ft,APTA2LWR,LWR,Kenai,Y,,,,,,,,,,
APTA2UPR,APTA2UPR,APTA2,-151.37,59.82,417.6,S fk Anchor River upper MAP abv 1000 ft,APTA2UPR,UPR,Kenai,Y,,,,,,,,,,
BGDA2LOC,BGDA2LOC MAPX area,BGDA2,-145,63.8,548.6,Tanana R at Big Delta MAPX,BGDA2LOC,LOC,Tanana,Y,,,,,,,,,,
BGDA2GL,BGDA2GL,BGDA2,-145.3,63.2,2240,Tanana R @BGDA2 Glacier MAP,BGDA2GL,GL,Tanana,Y,,,,,,,,,,
BGDA2LWR,BGDA2LWR,BGDA2,-145,63.8,548.6,Tanana R @BGDA2 Lower MAP blw 3000 ft,BGDA2LWR,LWR,Tanana,Y,,,,,,,,,,
BGDA2UPR,BGDA2UPR,BGDA2,-145,63.5,1402.1,Tanana R @BGDA2 Upper MAP abv 3000 ft,BGDA2UPR,UPR,Tanana,Y,,,,,,,,,,
DBRA2GL,DBRA2GL,DBRA2,-145.5,63.66,2011.7,Delta R @Blk Rapids glacier MAP,DBRA2GL,GL,Tanana,Y,,,,,,,,,,
DBRA2FAI,Delta R @Blk Rapids Glacier,DBRA2,-145.5,63.66,2011.7,DBRA2 Glacier AFAI,DBRA2FAI,FAI,Tanana,,,,,,,,,,,
DBRA2LWR,DBRA2LWR,DBRA2,-145.75,63.42,868.7,Delta R @Blk Rapids lower MAP blw 3000 ft,DBRA2LWR,LWR,Tanana,Y,,,,,,,,,,
DBRA2RSN,Delta River nr Black Rapids,DBRA2,-145.75,63.42,868.7,Delta River nr Black Rapids RainSnow,DBRA2RSN,RSN,Tanana,,,,,,,,,,,
DBRA2UPR,DBRA2UPR,DBRA2,-145.6,63.25,1280.16,Delta R @Blk Rapids upper MAP abv 3000 ft,DBRA2UPR,UPR,Tanana,Y,,,,,,,,,,
BRCA2UPR,BRCA2UPR,BRCA2,-141.342,66.262,652,Black R @Chalkyitsik upper MAP abv 1500 ft,BRCA2UPR,UPR,Porcupine,Y,,,,,,,,,,
BRCA2LWR,BRCA2LWR,BRCA2,-142.37,66.752,317,Black R @Chalkyitsik lower MAP blw 1500 ft,BRCA2LWR,LWR,Porcupine,Y,,,,,,,,,,
BRCA2RSN,BRCA2RSN,BRCA2,-142.37,66.752,317,Black R @Chalkyitsik rain-snow line,BRCA2RSN,RSN,Porcupine,,,,,,,,,,,
BRMA2GL,BRMA2GL,BRMA2,-150.68,59.78,853.4,Middle Fork Bradley glacier MAP,BRMA2GL,GL,Bradley, ,,,,,,,,,,
BCDA2GL,BCDA2GL,BCDA2,-150.811,59.7,1085,Battle Creek Glacier MAP,BCDA2GL,GL,Bradley,Y,,,,,,,,,,
BCDA2NG,BCDA2NG,BCDA2,-150.83,59.71,1053,Battle Creek Nonglacier MAP,BCDA2NG,NG,Bradley,Y,,,,,,,,,,
BCDA2RSN,BCDA2 RainSnow,BCDA2,-150.76667,59.78333,1053,Battle CreekRainSnow,BCDA2RSN,RSN,Bradley,,,,,,,,,,,
BCDA2FAI,BCDA2 Glacier Storage Curve,BCDA2 ,-150.811,59.7,1085,Battle Creek Glacier Storage ,BCDA2FAI,FAI,Bradley,,,,,,,,,,,
BCDA2,BCDA2,,-150.87,59.73,543,Battle Creek Diversion,BCDA2 ,,Bradley,,,,,,Y,Y,,,,
BRMA2LOC,BRMA2LOC MAP area,BRMA2,-150.75,59.8,670.6,Middle Fork Bradley nonglacier upper MAP,BRMA2LOC,LOC,, ,,,,,,,,,,
BRDA2LWR,BRDA2LWR,BRDA2,-150.75,59.73,365.8,Bradley Lk local nonglacier lower MAP blw 2000,BRDA2LWR,LWR,Bradley, ,,,,,,,,,,
BRDA2RSN,BRDA2 RainSnow,BRDA2,-150.76667,59.78333,365.8,Bradley Lk local RainSnow,BRDA2RSN,RSN,Bradley,,,,,,,,,,,
BRDA2UPR,BRDA2UPR,BRDA2,-150.67,59.75,762,Bradley Lk local nonglacier upper MAP abv 2000,BRDA2UPR,UPR,Bradley, ,,,,,,,,,,
BRTA2UPR,BRTA2UPR,BRTA2,-150.75,59.8,762,Bradley Tidewater upper MAP abv 2000,BRTA2UPR,UPR,Bradley, ,,,,,,,,,,
BRTA2MID,BRTA2MID,BRTA2,-150.81,59.78,426.7,Bradley Tidewater middle MAP 1000-2000,BRTA2MID,MID,Bradley,,,,,,,,,,,
BRTA2LWR,BRTA2LWR,BRTA2,-150.87,59.8,167.6,Bradley Tidewater lower MAP blw 1000,BRTA2LWR,LWR,Bradley, ,,,,,,,,,,
BRDA2GL,BRDA2GL,BRDA2,-150.57,59.71,1005.8,Bradley Lk local glacier MAP,BRDA2GL,GL,Bradley, ,,,,,,,,,,
BTTA2LWR,BTTA2LWR,BTTA2,-151.4,67,392,Koyukuk Bettles lower MAP blw 2100,BTTA2LWR,LWR,Koyukuk,Y,,,,,,,,,,
BTTA2UPR,BTTA2UPR,BTTA2,-151.3,67.3,932.1,Koyukuk Bettles upper MAP abv 2100,BTTA2UPR,UPR,Koyukuk,Y,,,,,,,,,,
CCTA2,CCTA2,,-144.412,61.53,476,Copper River at Chitina,CCTA2,,Copper,,,,,,Y,Y,,Y,,
CHFA2LOC,CHFA2LOC,CHFA2,-147.7,64.85,137.2,Chena R @Fai MAPX,CHFA2LOC,LOC,Tanana,Y,,,,,,,,,,
CHLA2LOC,CHLA2LOC MAPX area,CHLA2,-147.2,64.92,396.2,Little Chena R MAPX,CHLA2LOC,LOC,Tanana,Y,,,,,,,,,,
CHLA2LWR,CHLA2LWR,CHLA2,-147.2,64.92,396.2,Little Chena R lower MAP blw 2000 ft,CHLA2LWR,LWR,Tanana,Y,,,,,,,,,,
CHLA2UPR,CHLA2UPR,CHLA2,-147.15,64.95,708.7,Little Chena R lower MAP abv 2000 ft,CHLA2UPR,UPR,Tanana,Y,,,,,,,,,,
CHRA2LOC,CHRA2LOC,CHRA2,-149.88,61.2,100.6,Chester Creek Local MAP,CHRA2LOC,LOC,Anch,Y,,,,,,,,,,
CKTA2GL,CKTA2GL,CKTA2,-135.68,59.76,1631.9,Chilkat River Glacier MAP,CKTA2GL,GL,Southeast,Y,,,,,,,,,,
CKTA2LWR,CKTA2LWR,CKTA2,-136.04,59.53,510.5,Chilkat River lower MAP blw 3000 ft,CKTA2LWR,LWR,Southeast,Y,,,,,,,,,,
CKTA2UPR,CKTA2UPR,CKTA2,-136.54,59.69,1335,Chilkat River upper MAP abv 3000 ft,CKTA2UPR,UPR,Southeast,Y,,,,,,,,,,
CLNA2UPR,CLNA2UPR,CLNA2,-142.466,68.309,892,Coleen River upper MAP abv 2000 ft,CLNA2UPR,UPR,Porcupine,Y,,,,,,,,,,
CLNA2LWR,CLNA2LWR,CLNA2,-142.483,67.699,434,Coleen River lower MAP blw 2000 ft,CLNA2LWR,LWR,Porcupine,Y,,,,,,,,,,
CLNA2RSN,CLNA2RSN,CLNA2,-142.483,67.699,434,Coleen River rain-snow line,CLNA2RSN,RSN,Porcupine,,,,,,,,,,,
COBA2,COBA2,,-144.45,61.48,478,Copper River at O’Brien Creek,COBA2,,Copper,,,,,,Y,Y,,Y,,
COOA2LWR,COOA2LWR,COOA2,-149.65,60.5,272.8,Kenai R @COOA2 lower MAP blw 1500 ft,COOA2LWR,LWR,Kenai,Y,,,,,,,,,,
COOA2UPR,COOA2UPR,COOA2,-149.5,60.55,923.5,Kenai R @COOA2 upper MAP abv 1500 ft,COOA2UPR,UPR,Kenai,Y,,,,,,,,,,
CRHA2LOC,CRHA2LOC MAPX area,CRHA2,-146.5,64.8,396.2,Chena R @Hunts Cr MAPX,CRHA2LOC,LOC,Tanana,Y,,,,,,,,,,
CRHA2LWR,CRHA2LWR,CRHA2,-146.5,64.8,396.2,Chena R @Hunts Cr lower MAP blw 2000 ft,CRHA2LWR,LWR,Tanana,Y,,,,,,,,,,
CRHA2UPR,CRHA2UPR,CRHA2,-146.5,64.9,708.7,Chena R @Hunts Cr upper MAP abv 2000 ft,CRHA2UPR,UPR,Tanana,Y,,,,,,,,,,
CRNA2LG,CRNA2LG,CRNA2,-142.4,62,1670.3,Chisana R lower glacier ICE MAP blw 7000 ft,CRNA2LG,LG,Tanana,Y,,,,,,,,,,
CRNA2LGS,CRNA2LGS,CRNA2,-142,62.5,1676.4,Chisana R lower glacier SNOW MAP blw 7000 ft,CRNA2LGS,LGS,Tanana,,,,,,,,,,,
CRNA2LNG,CRNA2LNG MAP area,CRNA2,-141.5,62.5,723.9,Chisana R lower nonglacier MAP blw 4000 ft,CRNA2LNG,LNG,Tanana,,,,,,,,,,,
